country,population
Afghanistan,41128772
Africa,1426736614
Albania,2842318
Algeria,44903228
American Samoa,44295
Andorra,79843
Angola,35588996
Anguilla,15877
Antigua and Barbuda,93772
Argentina,45510324
Armenia,2780472
Aruba,106459
Asia,4721383370
Australia,26177410
Austria,8939617
Azerbaijan,10358078
Bahamas,409989
Bahrain,1472237
Bangladesh,171186368
Barbados,281646
Belarus,9534956
Belgium,11655923
Belize,405285
Benin,13352864
Bermuda,64207
Bhutan,782457
Bolivia,12224114
Bonaire Sint Eustatius and Saba,27052
Bosnia and Herzegovina,3233530
Botswana,2630300
Brazil,215313504
British Virgin Islands,31332
Brunei,449002
Bulgaria,6781955
Burkina Faso,22673764
Burundi,12889583
Cambodia,16767851
Cameroon,27914542
Canada,38454328
Cape Verde,593162
Cayman Islands,68722
Central African Republic,5579148
Chad,17723312
Chile,19603736
China,1425887360
Colombia,51874028
Comoros,836783
Congo,5970430
Cook Islands,17032
Costa Rica,5180836
Cote d'Ivoire,28160548
Croatia,4030361
Cuba,11212198
Curacao,191173
Cyprus,896007
Czechia,10493990
Democratic Republic of Congo,99010216
Denmark,5882259
Djibouti,1120851
Dominica,72758
Dominican Republic,11228821
Ecuador,18001002
Egypt,110990096
El Salvador,6336393
Equatorial Guinea,1674916
Eritrea,3684041
Estonia,1326064
Eswatini,1201680
Ethiopia,123379928
Europe,744807803
European Union,450146793
Faeroe Islands,53117
Falkland Islands,3801
Fiji,929769
Finland,5540745
France,67813000
French Guiana,304568
French Polynesia,306292
Gabon,2388997
Gambia,2705995
Georgia,3744385
Germany,83369840
Ghana,33475870
Gibraltar,32677
Greece,10384972
Greenland,56494
Grenada,125459
Guadeloupe,395762
Guam,171783
Guatemala,17843914
Guernsey,63329
Guinea,13859349
Guinea-Bissau,2105580
Guyana,808727
Haiti,11585003
High income,1250514600
Honduras,10432858
Hong Kong,7488863
Hungary,9967304
Iceland,372903
India,1417173120
Indonesia,275501344
Iran,88550568
Iraq,44496124
Ireland,5023108
Isle of Man,84534
Israel,9449000
Italy,59037472
Jamaica,2827382
Japan,123951696
Jersey,110796
Jordan,11285875
Kazakhstan,19397998
Kenya,54027484
Kiribati,131237
Kosovo,1782115
Kuwait,4268886
Kyrgyzstan,6630621
Laos,7529477
Latvia,1850654
Lebanon,5489744
Lesotho,2305826
Liberia,5302690
Libya,6812344
Liechtenstein,39355
Lithuania,2750058
Low income,737604900
Lower middle income,3432097300
Luxembourg,647601
Macao,695180
Madagascar,29611718
Malawi,20405318
Malaysia,33938216
Maldives,523798
Mali,22593598
Malta,533293
Marshall Islands,41593
Martinique,367512
Mauritania,4736146
Mauritius,1299478
Mayotte,326113
Mexico,127504120
Micronesia (country),114178
Moldova,3272993
Monaco,36491
Mongolia,3398373
Montenegro,627082
Montserrat,4413
Morocco,37457976
Mozambique,32969520
Myanmar,54179312
Namibia,2567024
Nauru,12691
Nepal,30547586
Netherlands,17564020
New Caledonia,289959
New Zealand,5185289
Nicaragua,6948395
Niger,26207982
Nigeria,218541216
Niue,1952
North America,600323657
North Korea,26069416
North Macedonia,2093606
Northern Mariana Islands,49574
Norway,5434324
Oceania,45038860
Oman,4576300
Pakistan,235824864
Palau,18084
Palestine,5250076
Panama,4408582
Papua New Guinea,10142625
Paraguay,6780745
Peru,34049588
Philippines,115559008
Pitcairn,47
Poland,39857144
Portugal,10270857
Puerto Rico,3252412
Qatar,2695131
Reunion,974062
Romania,19659270
Russia,144713312
Rwanda,13776702
Saint Barthelemy,10994
Saint Helena,5401
Saint Kitts and Nevis,47681
Saint Lucia,179872
Saint Martin (French part),31816
Saint Pierre and Miquelon,5885
Saint Vincent and the Grenadines,103959
Samoa,222390
San Marino,33690
Sao Tome and Principe,227393
Saudi Arabia,36408824
Senegal,17316452
Serbia,6871547
Seychelles,107135
Sierra Leone,8605723
Singapore,5637022
Sint Maarten (Dutch part),44192
Slovakia,5643455
Slovenia,2119843
Solomon Islands,724272
Somalia,17597508
South Africa,59893884
South America,436816679
South Korea,51815808
South Sudan,10913172
Spain,47558632
Sri Lanka,21832150
Sudan,46874200
Suriname,618046
Sweden,10549349
Switzerland,8740471
Syria,22125242
Taiwan,23893396
Tajikistan,9952789
Tanzania,65497752
Thailand,71697024
Timor,1341298
Togo,8848700
Tokelau,1893
Tonga,106867
Trinidad and Tobago,1531043
Tunisia,12356116
Turkey,85341248
Turkmenistan,6430777
Turks and Caicos Islands,45726
Tuvalu,11335
Uganda,47249588
Ukraine,39701744
United Arab Emirates,9441138
United Kingdom,67508936
United States,338289856
United States Virgin Islands,99479
Upper middle income,2525921300
Uruguay,3422796
Uzbekistan,34627648
Vanuatu,326744
Vatican,808
Venezuela,28301700
Vietnam,98186856
Wallis and Futuna,11596
Western Sahara,576005
World,7975105024
World excl. China,6549217664
Yemen,33696612
Zambia,20017670
Zimbabwe,16320539